Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Attur,7,"MADHESWARAN, S.",Amma Makkal Munnettra Kazagam,1675,24,1699,0.85
Attur,8,"MATHESWARI, K.K.",Anna Dravidar Kazhagam,117,3,120,0.06
Attur,9,"JANARTHANAM, A.",Dhesiya Makkal Kazhagam,215,0,215,0.11
Attur,10,"ARUMUGAM, D.",Independent,367,0,367,0.18
Attur,11,"SILAMBARASAN, J.",Independent,222,0,222,0.11
Attur,12,NOTA,None of the Above,1817,17,1834,0.92
Avadi,1,Sankar N M,Desiya Murpokku Dravida Kazhagam,1895,16,1911,0.64
Avadi,2,CHARLES S,Bahujan Samaj Party,763,10,773,0.26
Avadi,3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94
Avadi,4,Pandiarajan K,All India Anna Dravida Munnetra Kazhagam,94331,681,95012,31.57
Avadi,5,Udhayakumar V,Makkal Needhi Maiam,16982,110,17092,5.68
Avadi,6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,0.42
Avadi,7,Banumathi,My India Party,126,1,127,0.04
Avadi,8,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,0.04
Avadi,9,VIJAYALAKSHMI G,Naam Tamilar Katchi,29953,134,30087,10
Avadi,10,Viswanathan R,MGR Makkal Katchi,108,0,108,0.04
Avadi,11,Akilan T.M.,Independent,72,0,72,0.02
Avadi,12,Chandrasekar.A,Independent,105,0,105,0.03
Avadi,13,Sugumar M,Independent,143,0,143,0.05
Avadi,14,Dharani K,Independent,184,3,187,0.06
Avadi,15,Durgaprasad G,Independent,73,2,75,0.02
Avadi,16,Nagaraj M,Independent,198,0,198,0.07
Avadi,17,Pandiarajan G,Independent,359,1,360,0.12
Avadi,18,Venkatesan M,Independent,95,0,95,0.03
Avadi,19,Jayakumar P,Independent,299,1,300,0.1
Avadi,20,Shanavas Khan J,Independent,231,0,231,0.08
Avadi,21,NOTA,None of the Above,2361,20,2381,0.79
Avanashi,1,ATHIYAMAAN RAJU,Dravida Munnetra Kazhagam,65453,929,66382,31.22
Avanashi,2,"DHANAPAL, P",All India Anna Dravida Munnetra Kazhagam,116674,610,117284,55.16
Avanashi,3,"DURAISAMY, P",Bahujan Samaj Party,831,2,833,0.39
Avanashi,4,"MEERA, K",Desiya Murpokku Dravida Kazhagam,2554,23,2577,1.21
Avanashi,5,"SUBRAMANI, K",India Dravida Makkal Munnetra Katchi,137,2,139,0.07
Avanashi,6,SHOBA,Naam Tamilar Katchi,13211,45,13256,6.23
Avanashi,7,"VENKATESWARAN, A",Makkal Needhi Maiam,8318,61,8379,3.94
Avanashi,8,ANNAMALAI,Independent,150,4,154,0.07
Avanashi,9,"ARUMUGAM, P",Independent,171,2,173,0.08
Avanashi,10,"SAKUNTHALA, T",Independent,178,1,179,0.08
Avanashi,11,"MURUGESAN, R",Independent,379,0,379,0.18
Avanashi,12,"RANGASAMY, P",Independent,520,0,520,0.24
Avanashi,13,NOTA,None of the Above,2352,20,2372,1.12
Bargur,1,KRISHNAN A,All India Anna Dravida Munnetra Kazhagam,84177,465,84642,42.8
Bargur,2,NIRMALA A,National People's Party,701,9,710,0.36
Bargur,3,MATHIAZHAGAN D,Dravida Munnetra Kazhagam,95852,1404,97256,49.17
Bargur,4,MURALI M,Bahujan Samaj Party,442,1,443,0.22
Bargur,5,ARUN GOWTHAM R,Indiya Jananayaka Katchi,337,8,345,0.17
Bargur,6,AANDI A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,120,1,121,0.06
Bargur,7,GANESA KUMAR S,Amma Makkal Munnettra Kazagam,1058,6,1064,0.54
Bargur,8,KARUNAKARAN K,Naam Tamilar Katchi,10019,94,10113,5.11
Bargur,9,VASANTHARAJ P,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,181,3,184,0.09
Bargur,10,KALPANA D,Independent,115,4,119,0.06
Bargur,11,KRISHNAN A,Independent,106,1,107,0.05
Bargur,12,SANTHAMOORTHI K,Independent,223,0,223,0.11
Bargur,13,MANJUNATHAN M,Independent,622,1,623,0.31
Bargur,14,MANI K,Independent,327,0,327,0.17
Bargur,15,NOTA,None of the Above,1496,11,1507,0.76
Bhavani,1,KARUPPANAN.K.C,All India Anna Dravida Munnetra Kazhagam,100285,630,100915,50.11
Bhavani,2,GOPAL.M,Bahujan Samaj Party,868,2,870,0.43
Bhavani,3,DURAIRAJ.K.P,Dravida Munnetra Kazhagam,77079,1313,78392,38.93
Bhavani,4,AMMASAI.K,Kongu  Desa  Marumalarchi  Makkal  Katchi,936,7,943,0.47
Bhavani,5,SADHANANDHAM.K,Makkal Needhi Maiam,4186,35,4221,2.1
Bhavani,6,SATHYA.M,Naam Tamilar Katchi,10410,61,10471,5.2
Bhavani,7,RADHAKRISHNAN.M,Amma Makkal Munnettra Kazagam,953,3,956,0.47
Bhavani,8,JANARTHANAM.R.P,Tamilaga Makkal Thannurimai Katchi,320,2,322,0.16
Bhavani,9,ABDUL KADHER.A,Independent,107,0,107,0.05
Bhavani,10,APPICHI.T.K,Independent,99,0,99,0.05
Bhavani,11,KARTHIKEYAN.P,Independent,121,1,122,0.06
Bhavani,12,SATHEESH KUMAR.P,Independent,1221,3,1224,0.61
Bhavani,13,PERUMAL.V.M,Independent,419,0,419,0.21
Bhavani,14,STANLEY.G,Independent,244,1,245,0.12
Bhavani,15,NOTA,None of the Above,2070,9,2079,1.03
Bhavanisagar,1,G.SAKTHIVEL,Bahujan Samaj Party,1194,3,1197,0.6
Bhavanisagar,2,P.L SUNDARAM,Communist Party of India,82200,973,83173,41.47
Bhavanisagar,3,A.Bannari,All India Anna Dravida Munnetra Kazhagam,98934,247,99181,49.45
Bhavanisagar,4,RAMESH.G,Desiya Murpokku Dravida Kazhagam,2193,4,2197,1.1
Bhavanisagar,5,KARTHIKKUMAR.K,Makkal Needhi Maiam,4280,17,4297,2.14
Bhavanisagar,6,V.SANGEETHA,Naam Tamilar Katchi,8479,38,8517,4.25
Bhavanisagar,7,NOTA,None of the Above,2003,2,2005,1
Bhuvanagiri,1,Arunmozhithevan. A,All India Anna Dravida Munnetra Kazhagam,95536,917,96453,48.92
Bhuvanagiri,2,Ezhilvendhan. R,Bahujan Samaj Party,503,1,504,0.26
Bhuvanagiri,3,Saravanan. Durai.K,Dravida Munnetra Kazhagam,87217,977,88194,44.73
Bhuvanagiri,4,Balamurugan. K.S.K,Amma Makkal Munnettra Kazagam,2464,6,2470,1.25
Bhuvanagiri,5,Rathinavel. R.,Naam Tamilar Katchi,6927,31,6958,3.53
Bhuvanagiri,6,Revathi. R.,Indiya Jananayaka Katchi,314,1,315,0.16
Bhuvanagiri,7,Anandan. S (a) Kavignar Sella Aananthamaalai,Independent,102,0,102,0.05
Bhuvanagiri,8,Ezhilvendan. P.,Independent,55,0,55,0.03
Bhuvanagiri,9,Saravanan. J.,Independent,192,4,196,0.1
Bhuvanagiri,10,Sivakumari. T,Independent,68,0,68,0.03
Bhuvanagiri,11,Pazhanivel. M,Independent,141,1,142,0.07
Bhuvanagiri,12,Balamurugan. G.C,Independent,132,1,133,0.07
Bhuvanagiri,13,Ranjith. R,Independent,333,0,333,0.17
Bhuvanagiri,14,Jeyakumar. K,Independent,184,0,184,0.09
Bhuvanagiri,15,NOTA,None of the Above,1058,0,1058,0.54
Bodinayakanur,1,THANGATAMILSELVAN,Dravida Munnetra Kazhagam,87142,1887,89029,41.45
Bodinayakanur,2,O.PANNEERSELVAM,All India Anna Dravida Munnetra Kazhagam,99296,754,100050,46.58
Bodinayakanur,3,K.I.M HAKKEEM,All India Trinamool Congress,552,7,559,0.26
Bodinayakanur,4,ARUN KUMAR,My India Party,139,4,143,0.07
Bodinayakanur,5,P.GANESH KUMAR,Makkal Needhi Maiam,4069,59,4128,1.92
Bodinayakanur,6,P.KARUPPIAH,Bahujan Dravida Party,77,0,77,0.04
Bodinayakanur,7,THENI.T.KARNAN,Anna Dravidar Kazhagam,80,0,80,0.04
Bodinayakanur,8,S.KRISHNAVENI,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,98,2,100,0.05
Bodinayakanur,9,M.PREM CHANDAR,Naam Tamilar Katchi,10982,132,11114,5.17
Bodinayakanur,10,M.MUTHUSAMY,Amma Makkal Munnettra Kazagam,5594,55,5649,2.63
Bodinayakanur,11,A.ABTHAHIR,Independent,53,1,54,0.03
Bodinayakanur,12,C.ANBAZHAKAN,Independent,91,3,94,0.04
Bodinayakanur,13,M.ANANTHARAJ,Independent,269,1,270,0.13
Bodinayakanur,14,N.KRISHNAN,Independent,125,1,126,0.06
Bodinayakanur,15,P.KUMARAGURUBARAN,Independent,218,1,219,0.1
Bodinayakanur,16,N.SALEEM,Independent,353,1,354,0.16
Bodinayakanur,17,G.SENTHIL KUMAR,Independent,402,0,402,0.19
Bodinayakanur,18,TAMILSELVAN,Independent,441,2,443,0.21
Bodinayakanur,19,V.NANDHAGOPAL,Independent,68,0,68,0.03
Bodinayakanur,20,P.NAGENDHREN,Independent,133,2,135,0.06
Bodinayakanur,21,P.MANIMARAN,Independent,108,9,117,0.05
Bodinayakanur,22,V.RAMPRAKAASH,Independent,69,2,71,0.03
Bodinayakanur,23,RAJA MOHAMED,Independent,45,3,48,0.02
Bodinayakanur,24,T.RAJA MOHAMED,Independent,62,0,62,0.03
Bodinayakanur,25,NOTA,None of the Above,1381,22,1403,0.65
Chengalpattu,1,GAJENDRAN.M,All India Anna Dravida Munnetra Kazhagam,103561,347,103908,37.91
Chengalpattu,2,VARALAKSHMI.M,Dravida Munnetra Kazhagam,129317,1256,130573,47.64
Chengalpattu,3,ERANIAPPAN.S,Communist Party of India  (Marxist-Leninist)  (Liberation),684,0,684,0.25
Chengalpattu,4,SANJEEVINATHAN.K,Naam Tamilar Katchi,26813,55,26868,9.8
Chengalpattu,5,SATHISHKUMAR.A,Amma Makkal Munnettra Kazagam,3063,6,3069,1.12
Chengalpattu,6,SARAVANAN.D,All India Jananayaka Makkal Kazhagam,195,0,195,0.07
Chengalpattu,7,DILLIBABU.S,Tipu Sultan Party,403,1,404,0.15
Chengalpattu,8,MUTHAMILSELVAN.S,Indiya Jananayaka Katchi,4133,13,4146,1.51
Chengalpattu,9,VASUMATHI.G,Anaithu Makkal Arasiyal Katchi,141,1,142,0.05
Chengalpattu,10,GOPALAKRISHNAN.N,Independent,129,0,129,0.05
Chengalpattu,11,SEETHALAKSHMI.I,Independent,314,3,317,0.12
Chengalpattu,12,RAJAGOPAL.G,Independent,233,0,233,0.09
Chengalpattu,13,VEERADOSS.E,Independent,343,1,344,0.13
Chengalpattu,14,NOTA,None of the Above,3058,17,3075,1.12
Chengam,1,ANBU.S,Desiya Murpokku Dravida Kazhagam,2741,28,2769,1.24
Chengam,2,GIRI.M.P,Dravida Munnetra Kazhagam,106185,1896,108081,48.26
Chengam,3,SHANMUGAM.G,Bahujan Samaj Party,790,11,801,0.36
Chengam,4,NAINAKANNU.M.S,All India Anna Dravida Munnetra Kazhagam,95280,1231,96511,43.09
Chengam,5,SUGANRAJ.S,Indiya Jananayaka Katchi,823,5,828,0.37
Chengam,6,BASKAR.S,New Generation People’s Party,171,3,174,0.08
Chengam,7,VENNILA.S,Naam Tamilar Katchi,11980,100,12080,5.39
Chengam,8,ARUNKUMAR.M,Independent,111,1,112,0.05
Chengam,9,ANBAZHAGAN.P.G,Independent,110,2,112,0.05
Chengam,10,SHARMA.S,Independent,85,42,127,0.06
Chengam,11,SIVAKUMAR.J,Independent,99,0,99,0.04
Chengam,12,SIVAPRAKASH.K,Independent,139,34,173,0.08
Chengam,13,SELVARAJI.V,Independent,379,2,381,0.17
Chengam,14,DHINAKARAN.H,Independent,200,0,200,0.09
Chengam,15,VIJAYACHANDRAN.G,Independent,417,0,417,0.19
Chengam,16,NOTA,None of the Above,1079,6,1085,0.48
Chepauk-Thiruvallikeni,1,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,92636,649,93285,67.89
Chepauk-Thiruvallikeni,2,RAGHU C,Bahujan Samaj Party,715,8,723,0.53
Chepauk-Thiruvallikeni,3,ABID BAKSHQ H HUSSAIN,Republican Party of India (Athawale),104,1,105,0.08
Chepauk-Thiruvallikeni,4,RAVI M L,Desiya Makkal Sakthi Katchi,89,0,89,0.06
Chepauk-Thiruvallikeni,5,RAJENDRAN L,Amma Makkal Munnettra Kazagam,1865,8,1873,1.36
Chepauk-Thiruvallikeni,6,KASSALI A.V.A,Pattali Makkal Katchi,23763,167,23930,17.42
Chepauk-Thiruvallikeni,7,TABREZ,Tipu Sultan Party,366,1,367,0.27
Chepauk-Thiruvallikeni,8,MOHAMMED IDRIS K,Indiya Jananayaka Katchi,4090,6,4096,2.98
Chepauk-Thiruvallikeni,9,MOHAMED RIOZ,Anaithu Makkal Arasiyal Katchi,112,0,112,0.08
Chepauk-Thiruvallikeni,10,JAYASIMMARAJA  S M,Naam Tamilar Katchi,9170,23,9193,6.69
Chepauk-Thiruvallikeni,11,ANANDAN  K,Independent,87,1,88,0.06
Chepauk-Thiruvallikeni,12,KANNAN C,Independent,63,2,65,0.05
Chepauk-Thiruvallikeni,13,Ganesan P,Independent,39,0,39,0.03
Chepauk-Thiruvallikeni,14,KRISHNADASAN S,Independent,57,0,57,0.04
Chepauk-Thiruvallikeni,15,CHANDRANATHAN S,Independent,118,0,118,0.09
Chepauk-Thiruvallikeni,16,SRINIVASAN,Independent,138,1,139,0.1
Chepauk-Thiruvallikeni,17,SENTHIL KUMAR H,Independent,244,0,244,0.18
Chepauk-Thiruvallikeni,18,DILLIRAJ P,Independent,49,0,49,0.04
Chepauk-Thiruvallikeni,19,NAGARAJAN,Independent,109,1,110,0.08
Chepauk-Thiruvallikeni,20,BALAJI K,Independent,34,1,35,0.03
Chepauk-Thiruvallikeni,21,BALAJI C,Independent,53,0,53,0.04
Chepauk-Thiruvallikeni,22,MANIKANDAN E,Independent,49,1,50,0.04
Chepauk-Thiruvallikeni,23,MADHANA GOPAL T,Independent,42,0,42,0.03
Chepauk-Thiruvallikeni,24,MOHAMMED HUSSAIN,Independent,33,1,34,0.02
Chepauk-Thiruvallikeni,25,MUNIYANDI,Independent,81,0,81,0.06
Chepauk-Thiruvallikeni,26,RAVI E,Independent,353,14,367,0.27
Chepauk-Thiruvallikeni,27,NOTA,None of the Above,2047,14,2061,1.5
Cheyyar,1,DUSI. K. MOHAN,All India Anna Dravida Munnetra Kazhagam,89469,720,90189,42.05
Cheyyar,2,VIJAYAKANTH. S,Bahujan Samaj Party,726,5,731,0.34
Cheyyar,3,JOTHI. O,Dravida Munnetra Kazhagam,101080,1380,102460,47.78
Cheyyar,4,KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,503,1,504,0.24
Cheyyar,5,NADARAJAN. B,New Generation People’s Party,189,1,190,0.09
Cheyyar,6,BHEEMAN. G,Naam Tamilar Katchi,12112,80,12192,5.68
Cheyyar,7,MANIKANDAN. M,Ganasangam Party of India,259,3,262,0.12
Cheyyar,8,MAYILVAGANAN. T,Makkal Needhi Maiam,2403,26,2429,1.13
Cheyyar,9,MARYVOILET. J,Desiya Sirupanmayinar Makkal Iyakkam,131,12,143,0.07
Cheyyar,10,VARADHARAJAN. M. K,Amma Makkal Munnettra Kazagam,1748,12,1760,0.82
Cheyyar,11,VENKATESAN .V,Anaithindia Samudaya Munnetra Kazhagam,100,12,112,0.05
Cheyyar,12,ANANDASEKARAN. C,Independent,286,2,288,0.13
Cheyyar,13,UDHAYAKUMAR. M,Independent,289,1,290,0.14
Cheyyar,14,SURESH BABU. T,Independent,731,2,733,0.34
Cheyyar,15,NIRMALA. V,Independent,281,1,282,0.13
Cheyyar,16,NOTA,None of the Above,1882,13,1895,0.88
Cheyyur,1,Ilayaraja S,Bahujan Samaj Party,960,4,964,0.54
Cheyyur,2,Kanitha S,All India Anna Dravida Munnetra Kazhagam,78144,564,78708,43.94
Cheyyur,3,Siva A,Desiya Murpokku Dravida Kazhagam,3026,28,3054,1.71
Cheyyur,4,Anbu Tamilsekaran P,Makkal Needhi Maiam,1927,41,1968,1.1
Cheyyur,5,Babu M,Viduthalai Chiruthaigal Katchi,81533,1217,82750,46.2
Cheyyur,6,Rajesh R,Naam Tamilar Katchi,9568,85,9653,5.39
Cheyyur,7,Amarnath B,Independent,215,1,216,0.12
Cheyyur,8,Babu E,Independent,247,16,263,0.15
Cheyyur,9,Vinoth M,Independent,402,1,403,0.22
Cheyyur,10,NOTA,None of the Above,1127,14,1141,0.64
Chidambaram,1,D. CHANDRA PRABU,Bahujan Samaj Party,474,4,478,0.26
Chidambaram,2,K.A. PANDIAN,All India Anna Dravida Munnetra Kazhagam,90523,1438,91961,50.16
Chidambaram,3,S. ABDUL RAHMAN,Indian Union Muslim League,73773,1251,75024,40.92
Chidambaram,4,K. UDAYA SELVAN,Anaithu Makkal Puratchi Katchi,304,1,305,0.17
Chidambaram,5,G. DEVASAGAYAM,Makkal Needhi Maiam,2924,29,2953,1.61
Chidambaram,6,NATARAJAN KRISHNAMOORTHY,Naam Tamilar Katchi,9021,50,9071,4.95
Chidambaram,7,M. NANTHINIDEVI,Amma Makkal Munnettra Kazagam,1380,8,1388,0.76
Chidambaram,8,M. RAGHUNATHAN,Ilantamilar Munnani Kazhagam,145,1,146,0.08
Chidambaram,9,B. NARAYANAMOORTHY,Independent,240,2,242,0.13
Chidambaram,10,S. BALAMURUGAN,Independent,335,2,337,0.18
Chidambaram,11,C. VINOBA,Independent,245,0,245,0.13
Chidambaram,12,NOTA,None of the Above,1190,12,1202,0.66
Coimbatore (North),1,AMMAN K.ARJUNAN,All India Anna Dravida Munnetra Kazhagam,80815,639,81454,40.16
Coimbatore (North),2,SHANMUGASUNDARAM V.M,Dravida Munnetra Kazhagam,76201,1252,77453,38.19
Coimbatore (North),3,APPATHURAI N.R,Amma Makkal Munnettra Kazagam,1650,9,1659,0.82
Coimbatore (North),4,RAJKUMAR M.P,Makkal Munnetra Peravai,83,3,86,0.04
Coimbatore (North),5,KANNAPIRAN V,Dravida Murpokku Makkal Katchi,128,0,128,0.06
Coimbatore (North),6,THANGAVELU R,Makkal Needhi Maiam,26335,168,26503,13.07
Coimbatore (North),7,DURAIRAJ K,Tamil Nadu Ilangyar Katchi,529,2,531,0.26
Coimbatore (North),8,PANNEER SELVARAJ M,New Generation People’s Party,135,0,135,0.07
Coimbatore (North),9,Balendran C.B,Naam Tamilar Katchi,11388,45,11433,5.64
Coimbatore (North),10,ARUL MURUGAN A,Independent,138,1,139,0.07
Coimbatore (North),11,KUMAR G.D.K,Independent,124,0,124,0.06
Coimbatore (North),12,KEERTHIGA PARTHASARATHI,Independent,245,5,250,0.12
Coimbatore (North),13,SHANMUGASUNDARAM K,Independent,55,2,57,0.03
Coimbatore (North),14,DALIT. SU. JEYARAJ,Independent,49,0,49,0.02
Coimbatore (North),15,NAVAMANI R,Independent,141,0,141,0.07
Coimbatore (North),16,BALAMURUGAN M,Independent,313,0,313,0.15
Coimbatore (North),17,BALAJI V,Independent,248,0,248,0.12
Coimbatore (North),18,MAHARISHI MANDHARACSALAM,Independent,232,1,233,0.11
Coimbatore (North),19,RAMESHKUMAR D,Independent,22,0,22,0.01
Coimbatore (North),20,LOGANATHAN M,Independent,139,1,140,0.07
Coimbatore (North),21,NOTA,None of the Above,1678,23,1701,0.84
Coimbatore (South),1,MAYURA S JAYAKUMAR,Indian National Congress,41663,720,42383,27.39
Coimbatore (South),2,ROSHAN,Bahujan Samaj Party,272,2,274,0.18
Coimbatore (South),3,VANATHI SRINIVASAN,Bharatiya Janata Party,52627,582,53209,34.38
Coimbatore (South),4,ABDUL WAHAB,Naam Tamilar Katchi,4265,35,4300,2.78
Coimbatore (South),5,KAMALHAASAN,Makkal Needhi Maiam,51087,394,51481,33.26
Coimbatore (South),6,GOPALAKRISHNAN,New Generation People’s Party,126,1,127,0.08
Coimbatore (South),7,SANMUGAVEL,Ganasangam Party of India,76,0,76,0.05
Coimbatore (South),8,DURAISAMY @ CHALLENGER DURAI,Amma Makkal Munnettra Kazagam,690,11,701,0.45
Coimbatore (South),9,RAGHUL GANDHI .K,Hindustan Janta Party,72,1,73,0.05
Coimbatore (South),10,VIVEK SUBRAMANIAM,Manitha Urimaigal Kalaagam,74,0,74,0.05
Coimbatore (South),11,VELLIMALAI,"Makkal Sananayaga Kudiyarasu Katchi,",59,0,59,0.04
Coimbatore (South),12,ALPHONSERAJ,Independent,51,0,51,0.03
Coimbatore (South),13,KUMAREASAN. K,Independent,58,0,58,0.04
Coimbatore (South),14,SUNDARAVADIVELU,Independent,190,0,190,0.12
Coimbatore (South),15,CHELLADURAI. S,Independent,29,0,29,0.02
Coimbatore (South),16,SELVAKUMAR,Independent,163,0,163,0.11
Coimbatore (South),17,DHANDABANI,Independent,181,0,181,0.12
Coimbatore (South),18,NAGAVALLI,Independent,134,1,135,0.09
Coimbatore (South),19,PALANIKUMAR.V,Independent,136,0,136,0.09
Coimbatore (South),20,JAYACHANDRAN,Independent,62,0,62,0.04
Coimbatore (South),21,JAYAPRAKASH.N,Independent,99,3,102,0.07
Coimbatore (South),22,NOTA,None of the Above,887,14,901,0.58
Colachal,1,Anish K.M.,Bahujan Samaj Party,829,2,831,0.45
Colachal,2,Sivakumar M.,Desiya Murpokku Dravida Kazhagam,1320,12,1332,0.73
Colachal,3,Prince J.G.,Indian National Congress,89121,1560,90681,49.56
Colachal,4,Ramesh P.,Bharatiya Janata Party,65047,802,65849,35.99
Colachal,5,Anthony Muthu S.M.,Communist Party of India  (Marxist-Leninist)  (Liberation),1203,15,1218,0.67
Colachal,6,Antony Aslin J.,Naam Tamilar Katchi,18071,131,18202,9.95
Colachal,7,Krishna Kumar A.,Anaithu Makkal Puratchi Katchi,1143,2,1145,0.63
Colachal,8,Raja C.,Shiv Sena,103,0,103,0.06
Colachal,9,Lathis Mary S.,Makkal Needhi Maiam,2117,10,2127,1.16
Colachal,10,"Mohammed Ali, Professor, S.",Independent,130,0,130,0.07
Colachal,11,Marystella R.,Independent,201,0,201,0.11
Colachal,12,Vijayakumar R.,Independent,270,2,272,0.15
Colachal,13,NOTA,None of the Above,870,8,878,0.48
Coonoor,1,"Prabhu Inbadass, S.",All India Trinamool Congress,399,5,404,0.3
Coonoor,2,"Ramachandran, K.",Dravida Munnetra Kazhagam,60471,1349,61820,45.49
Coonoor,3,"Vinoth, D.",All India Anna Dravida Munnetra Kazhagam,57254,461,57715,42.47
Coonoor,4,"Arumugam, R.",Anaithu Makkal Puratchi Katchi,435,4,439,0.32
Coonoor,5,"Kalaiselvan, S.",Amma Makkal Munnettra Kazagam,2499,28,2527,1.86
Coonoor,6,"Rajakumar, H.B.",Makkal Needhi Maiam,3587,34,3621,2.66
Coonoor,7,"Lavanya, M.",Naam Tamilar Katchi,7182,70,7252,5.34
Coonoor,8,"Chandran, K.",Independent,107,2,109,0.08
Coonoor,9,"Basha, A.",Independent,313,7,320,0.24
Coonoor,10,"Jayaprakash, D",Independent,509,4,513,0.38
Coonoor,11,NOTA,None of the Above,1177,11,1188,0.87
Cuddalore,1,G.IYAPPAN,Dravida Munnetra Kazhagam,82813,1750,84563,46.46
Cuddalore,2,M.C.SAMPATH,All India Anna Dravida Munnetra Kazhagam,78004,1408,79412,43.63
Cuddalore,3,A.GNANAPANDITHAN,Desiya Murpokku Dravida Kazhagam,1489,10,1499,0.82
Cuddalore,4,R.VALLAL KUMAR,Bahujan Samaj Party,78,1,79,0.04
Cuddalore,5,K.ANANDRAJ,Makkal Needhi Maiam,4005,35,4040,2.22
Cuddalore,6,S.PUSHBARAJ,Tamil Nadu Ilangyar Katchi,608,9,617,0.34
Cuddalore,7,A.Mohamed Usman,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,29,0,29,0.02
Cuddalore,8,S.V.RAJARAJAN,Desiya Makkal Sakthi Katchi,74,0,74,0.04
Cuddalore,9,JALADEEPAN.V,Naam Tamilar Katchi,9480,83,9563,5.25
Cuddalore,10,G.KRISHNAN,Independent,25,4,29,0.02
Cuddalore,11,S.SAMPATH,Independent,46,0,46,0.03
Cuddalore,12,K.THANGARASU,Independent,31,0,31,0.02
Cuddalore,13,V. DAKSHNAMOORTHY,Independent,183,2,185,0.1
Cuddalore,14,S.DEENADHAYALAN,Independent,289,2,291,0.16
Cuddalore,15,J.JACOB,Independent,307,0,307,0.17
Cuddalore,16,NOTA,None of the Above,1228,8,1236,0.68
Cumbum,1,N.Ramakrishnan,Dravida Munnetra Kazhagam,102652,2148,104800,51.81
Cumbum,2,Syedukhan.S.P.M,All India Anna Dravida Munnetra Kazhagam,61978,409,62387,30.84
Cumbum,3,Anish Fathima. A,Naam Tamilar Katchi,12123,224,12347,6.1
Cumbum,4,KATHIRAVAN.S,New Generation People’s Party,232,4,236,0.12
Cumbum,5,Suresh.P,Amma Makkal Munnettra Kazagam,14399,137,14536,7.19
Cumbum,6,Pandi Selvam.R,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,148,3,151,0.07
Cumbum,7,RADHAKRISHNAN.K,Anaithu Makkal Puratchi Katchi,121,1,122,0.06
Cumbum,8,Lal Bahdur Sasthri.V,My India Party,116,4,120,0.06
Cumbum,9,Venkidesh.N,Makkal Needhi Maiam,4582,65,4647,2.3
Cumbum,10,SARAVANAN.S.R,Independent,320,1,321,0.16
Cumbum,11,THAVIDHU RAJA. A,Independent,99,2,101,0.05
Cumbum,12,Prakash.P,Independent,152,3,155,0.08
Cumbum,13,MARIMUTHU.G,Independent,105,1,106,0.05
Cumbum,14,MUTHUSELVAM.G,Independent,134,2,136,0.07
Cumbum,15,MUTHU MUNEESWARAN.M,Independent,450,1,451,0.22
Cumbum,16,NOTA,None of the Above,1625,34,1659,0.82
Dharapuram,1,KAYALVIZHI N,Dravida Munnetra Kazhagam,88471,1515,89986,46.39
Dharapuram,2,MURUGAN L,Bharatiya Janata Party,87964,629,88593,45.67
Dharapuram,3,RANGASAMY S,Bahujan Samaj Party,638,2,640,0.33
Dharapuram,4,KALARANI C,Amma Makkal Munnettra Kazagam,1166,6,1172,0.6
Dharapuram,5,CHARLI A,Makkal Needhi Maiam,2114,16,2130,1.1
Dharapuram,6,CHIDAMBHARAM V,India Dravida Makkal Munnetra Katchi,123,3,126,0.06
Dharapuram,7,MUNIYAPPAN A,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,220,0,220,0.11
Dharapuram,8,RANJITHA K,Naam Tamilar Katchi,6691,62,6753,3.48
Dharapuram,9,ANANTHI S,Independent,152,5,157,0.08
Dharapuram,10,KAYALVIZHI K,Independent,887,5,892,0.46
Dharapuram,11,KAYALVIZHI P,Independent,201,1,202,0.1
Dharapuram,12,KARTHIKEYAN A,Independent,157,1,158,0.08
Dharapuram,13,SELVARAJ V,Independent,233,0,233,0.12
Dharapuram,14,MURUGAN A,Independent,824,2,826,0.43
Dharapuram,15,NOTA,None of the Above,1881,22,1903,0.98
Dharmapuri,1,SUBRAMANI.P,Dravida Munnetra Kazhagam,76846,1924,78770,36.24
Dharmapuri,2,PERUMAL.P,Bahujan Samaj Party,462,2,464,0.21
Dharmapuri,3,SAKTHIVEL.P.,Desiya Makkal Sakthi Katchi,210,3,213,0.1
Dharmapuri,4,SENTHIL KUMAR (A) SENTHIL.A.,Naam Tamilar Katchi,8609,91,8700,4
Dharmapuri,5,NATARAJAN.M.,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1890,7,1897,0.87
Dharmapuri,6,MANI.L.,Dhesiya Makkal Kazhagam,194,0,194,0.09
Dharmapuri,7,RAMASAMY.T.,My India Party,208,0,208,0.1
