Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Thoothukkudi,8,G.Selvavinayagam,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,268,1,269,0.14
Thoothukkudi,9,N.Balasubramanian,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,126,1,127,0.07
Thoothukkudi,10,Mannar Maharajan,Bahujan Dravida Party,93,0,93,0.05
Thoothukkudi,11,S.V.Rajasekar,United States of India Party,914,1,915,0.49
Thoothukkudi,12,V.Velraj,Naam Tamilar Katchi,30747,190,30937,16.42
Thoothukkudi,13,J.Arun Nehruraj,Independent,142,0,142,0.08
Thoothukkudi,14,J.Alldrin Airmarshal Thayaram,Independent,166,1,167,0.09
Thoothukkudi,15,C.Ganesh Ayyadurai,Independent,115,1,116,0.06
Thoothukkudi,16,S.Krishnan,Independent,182,0,182,0.1
Thoothukkudi,17,J.samuvel,Independent,138,0,138,0.07
Thoothukkudi,18,J.Sivaneswaran,Independent,2849,17,2866,1.52
Thoothukkudi,19,G.Selvam,Independent,75,0,75,0.04
Thoothukkudi,20,S.Balasundram,Independent,87,0,87,0.05
Thoothukkudi,21,L.Maria Deva Sahaya Johny,Independent,442,4,446,0.24
Thoothukkudi,22,A.Mohamed Imran Arabi,Independent,60,2,62,0.03
Thoothukkudi,23,Ramagunaseelan,Independent,88,0,88,0.05
Thoothukkudi,24,A.Rajavel,Independent,278,4,282,0.15
Thoothukkudi,25,M.Lingaraja,Independent,70,0,70,0.04
Thoothukkudi,26,A.Jeyalalitha,Independent,162,1,163,0.09
Thoothukkudi,27,NOTA,None of the Above,1539,30,1569,0.83
Thousand Lights,1,EZHILAN N,Dravida Munnetra Kazhagam,71437,430,71867,52.87
Thousand Lights,2,KUSHBOO SUNDAR,Bharatiya Janata Party,39237,168,39405,28.99
Thousand Lights,3,WILLIAMS D,Bahujan Samaj Party,245,1,246,0.18
Thousand Lights,4,K M SHARIFF,Makkal Needhi Maiam,11769,22,11791,8.67
Thousand Lights,5,DOMNIC A,Nam India Naam Indiyar Katchi,72,0,72,0.05
Thousand Lights,6,RIAZ(A) SYED ZAKEERULLA,Anaithu Makkal Arasiyal Katchi,52,0,52,0.04
Thousand Lights,7,VAIDHYANATHAN N,Amma Makkal Munnettra Kazagam,1145,10,1155,0.85
Thousand Lights,8,SHERINE AJ,Naam Tamilar Katchi,8860,24,8884,6.54
Thousand Lights,9,SANJEEVI S,Independent,66,0,66,0.05
Thousand Lights,10,SUDAKAR R,Independent,63,3,66,0.05
Thousand Lights,11,SEKAR K,Independent,30,1,31,0.02
Thousand Lights,12,DEEBAN M,Independent,37,0,37,0.03
Thousand Lights,13,NIRMAL KUMAR S,Independent,53,0,53,0.04
Thousand Lights,14,P PARIMALA,Independent,47,0,47,0.03
Thousand Lights,15,BABU A,Independent,65,0,65,0.05
Thousand Lights,16,PARTHIBAN V,Independent,154,0,154,0.11
Thousand Lights,17,MANIVANNAN N,Independent,229,0,229,0.17
Thousand Lights,18,RADHA KRISHNAN S,Independent,230,1,231,0.17
Thousand Lights,19,VELRAJ S,Independent,41,1,42,0.03
Thousand Lights,20,A GEORGE BENNY,Independent,62,0,62,0.05
Thousand Lights,21,NOTA,None of the Above,1381,4,1385,1.02
Thuraiyur,1,T.INDRAGANDHI,All India Anna Dravida Munnetra Kazhagam,65257,458,65715,37.36
Thuraiyur,2,S.ESWARAMOORTHY,Bahujan Samaj Party,865,2,867,0.49
Thuraiyur,3,S.STALINKUMAR,Dravida Munnetra Kazhagam,85802,1984,87786,49.91
Thuraiyur,4,K.GUNASEKARAN,Puthiya Tamilagam,539,2,541,0.31
Thuraiyur,5,K.SUBRAMANIAN,Amma Makkal Munnettra Kazagam,2404,31,2435,1.38
Thuraiyur,6,R.TAMILZHSELVI,Naam Tamilar Katchi,13074,84,13158,7.48
Thuraiyur,7,M.MALARMANNAN,Samaniya Makkal Nala Katchi,100,0,100,0.06
Thuraiyur,8,T.N. YUVARAJAN,Makkal Needhi Maiam,2489,39,2528,1.44
Thuraiyur,9,K.JAYAKKANNAN,Tamizhaga Murpokku Makkal Katchi,164,2,166,0.09
Thuraiyur,10,S.KARUPPIAH,Independent,314,6,320,0.18
Thuraiyur,11,A.SEERANGAN,Independent,119,0,119,0.07
Thuraiyur,12,SRINIVASAN J,Independent,316,1,317,0.18
Thuraiyur,13,K.SUNDARRAJ,Independent,230,0,230,0.13
Thuraiyur,14,NOTA,None of the Above,1580,14,1594,0.91
Tindivanam,1,ARJUNAN P,All India Anna Dravida Munnetra Kazhagam,86155,997,87152,47.74
Tindivanam,2,GOVINDASAMY A,Bahujan Samaj Party,599,4,603,0.33
Tindivanam,3,CHANDRALEKHA K,Desiya Murpokku Dravida Kazhagam,2678,23,2701,1.48
Tindivanam,4,SEETHAPATHY P,Dravida Munnetra Kazhagam,76038,1361,77399,42.4
Tindivanam,5,ILAVARASAN K,Anna Dravidar Kazhagam,424,0,424,0.23
Tindivanam,6,SETTU M,Desiya Sirupanmayinar Makkal Iyakkam,247,0,247,0.14
Tindivanam,7,PACHIMUTHU P,Naam Tamilar Katchi,9162,41,9203,5.04
Tindivanam,8,POYATHU @ ANBIN POYYAMOZHI S,Makkal Needhi Maiam,2068,11,2079,1.14
Tindivanam,9,MOHAN A,MAKKAL SAKTHI KATCHI,108,4,112,0.06
Tindivanam,10,VISWANATHAN S A,All  India  Pattali  Munnetra Katchi,148,0,148,0.08
Tindivanam,11,ARULMARAN J,Independent,120,2,122,0.07
Tindivanam,12,GOKULAKRISHNAN M,Independent,132,9,141,0.08
Tindivanam,13,THAMBIRAJ A,Independent,378,1,379,0.21
Tindivanam,14,VINOTH S,Independent,110,0,110,0.06
Tindivanam,15,VETRIVENDHAN S,Independent,195,0,195,0.11
Tindivanam,16,NOTA,None of the Above,1514,9,1523,0.83
Tiruchendur,1,Anitha R. Radhakrishnan,Dravida Munnetra Kazhagam,86162,2112,88274,50.58
Tiruchendur,2,Radhakrishnan M,All India Anna Dravida Munnetra Kazhagam,62420,591,63011,36.1
Tiruchendur,3,Gloriyan S,Naam Tamilar Katchi,14963,100,15063,8.63
Tiruchendur,4,Kennady Babu K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,128,1,129,0.07
Tiruchendur,5,Rooswelt X,Naam Indiar Party,238,1,239,0.14
Tiruchendur,6,Vadamalaipandian S,Amma Makkal Munnettra Kazagam,3730,36,3766,2.16
Tiruchendur,7,Jayanthi M,Makkal Needhi Maiam,1949,16,1965,1.13
Tiruchendur,8,Arumugam S,Independent,107,1,108,0.06
Tiruchendur,9,Essakki Muthu,Independent,58,2,60,0.03
Tiruchendur,10,Kalyanasundaram R,Independent,90,2,92,0.05
Tiruchendur,11,Senthilkumar S,Independent,177,0,177,0.1
Tiruchendur,12,Shaik Abdul Kader P.S.J,Independent,136,0,136,0.08
Tiruchendur,13,Baskar C,Independent,195,1,196,0.11
Tiruchendur,14,Perumal K,Independent,73,0,73,0.04
Tiruchendur,15,Pon Rathna Selvan S,Independent,195,1,196,0.11
Tiruchendur,16,NOTA,None of the Above,1040,11,1051,0.6
Tiruchengodu,1,ESWARAN E R,Dravida Munnetra Kazhagam,79934,1754,81688,44.23
Tiruchengodu,2,SARASWATHI PON,All India Anna Dravida Munnetra Kazhagam,78010,816,78826,42.69
Tiruchengodu,3,KALAIVANAN A,My India Party,510,5,515,0.28
Tiruchengodu,4,SIVAKUMAR K,Tamilaga Makkal Thannurimai Katchi,203,1,204,0.11
Tiruchengodu,5,CHINNATHAMBI K,Republican Party of India (Athawale),75,0,75,0.04
Tiruchengodu,6,SENGOTTUVELLU N,Ahimsa Socialist Party,353,5,358,0.19
Tiruchengodu,7,NATARAJAN P,Naam Tamilar Katchi,13857,110,13967,7.56
Tiruchengodu,8,YUVARAJKUMAR K,Namathu Kongu Munnetra Kalagam,100,0,100,0.05
Tiruchengodu,9,JANAGARAJ R,Makkal Needhi Maiam,3695,29,3724,2.02
Tiruchengodu,10,HEMALATHA R,Amma Makkal Munnettra Kazagam,446,3,449,0.24
Tiruchengodu,11,ESWARAN A,Independent,52,0,52,0.03
Tiruchengodu,12,ESWARAN K,Independent,57,4,61,0.03
Tiruchengodu,13,ESWARAN G,Independent,48,1,49,0.03
Tiruchengodu,14,ESWARAN M,Independent,325,1,326,0.18
Tiruchengodu,15,KARTHIKEYAN S,Independent,373,2,375,0.2
Tiruchengodu,16,SHANMUGASUNDARAM T,Independent,665,1,666,0.36
Tiruchengodu,17,SATHIESHKUMAR C,Independent,391,0,391,0.21
Tiruchengodu,18,CHANDRA R,Independent,210,0,210,0.11
Tiruchengodu,19,SARAVANAN K,Independent,43,0,43,0.02
Tiruchengodu,20,SARASWATHI M,Independent,71,5,76,0.04
Tiruchengodu,21,SENTHILKUMAR C,Independent,24,1,25,0.01
Tiruchengodu,22,SELVARAMLINGAM,Independent,196,4,200,0.11
Tiruchengodu,23,SELVARAJ K R,Independent,62,0,62,0.03
Tiruchengodu,24,BALAMURUGAN C,Independent,378,1,379,0.21
Tiruchengodu,25,BALAMURUGAN S,Independent,52,1,53,0.03
Tiruchengodu,26,BALAJICHEZHIAN P,Independent,54,0,54,0.03
Tiruchengodu,27,RANJIT R,Independent,93,3,96,0.05
Tiruchengodu,28,VELU K,Independent,126,1,127,0.07
Tiruchengodu,29,NOTA,None of the Above,1506,12,1518,0.82
Tiruchirappalli (East),1,"INIGO IRUDAYARAJ,S.",Dravida Munnetra Kazhagam,92645,1657,94302,54.56
Tiruchirappalli (East),2,"VELLAMANDI NATARAJAN,N.",All India Anna Dravida Munnetra Kazhagam,40109,396,40505,23.43
Tiruchirappalli (East),3,"PRABU,R.",Naam Tamilar Katchi,14211,101,14312,8.28
Tiruchirappalli (East),4,MANOHARAN.R.,Amma Makkal Munnettra Kazagam,9010,79,9089,5.26
Tiruchirappalli (East),5,VIJAIA MOHANAAJI,Vidial Valarchi Perani,105,0,105,0.06
Tiruchirappalli (East),6,"VEERASAKTHI,D.",Makkal Needhi Maiam,11309,87,11396,6.59
Tiruchirappalli (East),7,"ARAVINDAN,P.",Independent,85,0,85,0.05
Tiruchirappalli (East),8,"AROCKIA SATHEESH,A.",Independent,69,1,70,0.04
Tiruchirappalli (East),9,"IRUDAYARAJ,S.",Independent,55,3,58,0.03
Tiruchirappalli (East),10,"GASPAR REGAN,S.",Independent,49,1,50,0.03
Tiruchirappalli (East),11,"CHARLES SAGAYARAJ,P.",Independent,69,4,73,0.04
Tiruchirappalli (East),12,"DEVAKUMAR,T.",Independent,72,1,73,0.04
Tiruchirappalli (East),13,"BALAMURUGAN,A.",Independent,211,0,211,0.12
Tiruchirappalli (East),14,"MARUTHAMUTHU,N.",Independent,45,1,46,0.03
Tiruchirappalli (East),15,"MANOHARAN,M.",Independent,157,0,157,0.09
Tiruchirappalli (East),16,"RAJA,S.",Independent,381,1,382,0.22
Tiruchirappalli (East),17,"JAHIR HUSSAIN,M.",Independent,207,1,208,0.12
Tiruchirappalli (East),18,"SHEIK ABDULLAH,R.",Independent,199,0,199,0.12
Tiruchirappalli (East),19,NOTA,None of the Above,1504,31,1535,0.89
